,GEO.id,GEO.id2,GEO.display-label,Median_rent,geometry,Median_income
0,Id,Id2,Geography,Estimate; Median gross rent,,Estimate; Per capita income in the past 12 months (in 2015 Inflation-adjusted dollars)
1,1500000US360050001000,360050001000,"Block Group 0, Census Tract 1, Bronx County, New York",,"POLYGON ((-73.892504 40.801206, -73.872264 40.794992, -73.86670699999999 40.793653, -73.87000499999999 40.790681, -73.871021 40.788833, -73.874253 40.792317, -73.87864499999999 40.794407, -73.88385 40.795433, -73.88789799999999 40.798315, -73.89039 40.797957, -73.892866 40.790567, -73.89980899999999 40.792524, -73.897722 40.795138, -73.892504 40.801206))",
2,1500000US360050001001,360050001001,"Block Group 1, Census Tract 1, Bronx County, New York",,"POLYGON ((-73.892866 40.790567, -73.89039 40.797957, -73.88789799999999 40.798315, -73.88385 40.795433, -73.87864499999999 40.794407, -73.874253 40.792317, -73.871021 40.788833, -73.87125399999999 40.787593, -73.870992 40.786979, -73.873688 40.78616, -73.878964 40.785743, -73.884867 40.786621, -73.88991799999999 40.787398, -73.890586 40.790145, -73.892866 40.790567))",2440
3,1500000US360050002000,360050002000,"Block Group 0, Census Tract 2, Bronx County, New York",,"POLYGON ((-73.86270399999999 40.797276, -73.866484 40.805901, -73.861357 40.810837, -73.85920399999999 40.8107, -73.858665 40.806833, -73.85781 40.80562, -73.856323 40.802619, -73.85363099999999 40.80296, -73.853466 40.799581, -73.86270399999999 40.797276))",
4,1500000US360050002001,360050002001,"Block Group 1, Census Tract 2, Bronx County, New York",1557,"POLYGON ((-73.85772 40.813362, -73.85913699999999 40.813171, -73.862847 40.812673, -73.86332899999999 40.814782, -73.861482 40.815029, -73.859717 40.815269, -73.859555 40.815114, -73.85772 40.813362))",20931
5,1500000US360050002002,360050002002,"Block Group 2, Census Tract 2, Bronx County, New York",1287,"POLYGON ((-73.85913699999999 40.813171, -73.85772 40.813362, -73.857156 40.812824, -73.856133 40.811415, -73.85865199999999 40.811069, -73.85745299999999 40.806897, -73.858665 40.806833, -73.85920399999999 40.8107, -73.861357 40.810837, -73.86161199999999 40.811359, -73.86708 40.814441, -73.865218 40.814529, -73.864255 40.814658, -73.86332899999999 40.814782, -73.862847 40.812673, -73.85913699999999 40.813171))",21855
6,1500000US360050002003,360050002003,"Block Group 3, Census Tract 2, Bronx County, New York",1243,"POLYGON ((-73.855312 40.809329, -73.854417 40.80578, -73.856443 40.805679, -73.856323 40.802619, -73.85781 40.80562, -73.858665 40.806833, -73.85745299999999 40.806897, -73.85865199999999 40.811069, -73.856133 40.811415, -73.85561799999999 40.810608, -73.855312 40.809329))",24709
7,1500000US360050004000,360050004000,"Block Group 0, Census Tract 4, Bronx County, New York",,"POLYGON ((-73.847689 40.806065, -73.84798499999999 40.807465, -73.85028699999999 40.808475, -73.85001799999999 40.810007, -73.84872299999999 40.81215, -73.853002 40.813694, -73.853413 40.814158, -73.85318099999999 40.814096, -73.851145 40.814396, -73.84629099999999 40.811547, -73.84313399999999 40.811603, -73.845117 40.806299, -73.845524 40.803974, -73.844044 40.80096, -73.851809 40.799992, -73.853466 40.799581, -73.85363099999999 40.80296, -73.846497 40.803835, -73.847689 40.806065))",
8,1500000US360050004001,360050004001,"Block Group 1, Census Tract 4, Bronx County, New York",1543,"POLYGON ((-73.856291 40.813555, -73.85561799999999 40.810608, -73.856133 40.811415, -73.857156 40.812824, -73.85772 40.813362, -73.859555 40.815114, -73.859717 40.815269, -73.85959699999999 40.815283, -73.85870299999999 40.815405, -73.85777999999999 40.81553, -73.85678299999999 40.815662, -73.856291 40.813555))",15411
9,1500000US360050004002,360050004002,"Block Group 2, Census Tract 4, Bronx County, New York",1411,"POLYGON ((-73.85561799999999 40.810608, -73.856291 40.813555, -73.85678299999999 40.815662, -73.85551699999999 40.815833, -73.85361999999999 40.816088, -73.851629 40.816354, -73.851145 40.814396, -73.85318099999999 40.814096, -73.853413 40.814158, -73.853002 40.813694, -73.84872299999999 40.81215, -73.85001799999999 40.810007, -73.851159 40.809897, -73.855312 40.809329, -73.85561799999999 40.810608))",18834
10,1500000US360050004003,360050004003,"Block Group 3, Census Tract 4, Bronx County, New York",1395,"POLYGON ((-73.847689 40.806065, -73.846497 40.803835, -73.85363099999999 40.80296, -73.856323 40.802619, -73.856443 40.805679, -73.854417 40.80578, -73.855312 40.809329, -73.851159 40.809897, -73.85001799999999 40.810007, -73.85028699999999 40.808475, -73.84798499999999 40.807465, -73.847689 40.806065))",34995
11,1500000US360050004004,360050004004,"Block Group 4, Census Tract 4, Bronx County, New York",,"POLYGON ((-73.849097 40.814551, -73.848112 40.814687, -73.847054 40.814826, -73.846632 40.813013, -73.846097 40.813079, -73.84646699999999 40.812306, -73.84629099999999 40.811547, -73.851145 40.814396, -73.850899 40.814344, -73.849097 40.814551))",22888
12,1500000US360050016001,360050016001,"Block Group 1, Census Tract 16, Bronx County, New York",952,"POLYGON ((-73.85776799999999 40.819879, -73.860612 40.819497, -73.861531 40.819379, -73.86202899999999 40.821509, -73.860193 40.821757, -73.85826399999999 40.822013, -73.85776799999999 40.819879))",14825
13,1500000US360050016002,360050016002,"Block Group 2, Census Tract 16, Bronx County, New York",1620,"POLYGON ((-73.85870299999999 40.815405, -73.85959699999999 40.815283, -73.859717 40.815269, -73.861482 40.815029, -73.861982 40.817135, -73.86012199999999 40.817389, -73.85919799999999 40.817511, -73.858272 40.817629, -73.85777999999999 40.81553, -73.85870299999999 40.815405))",26937
14,1500000US360050016003,360050016003,"Block Group 3, Census Tract 16, Bronx County, New York",676,"POLYGON ((-73.855136 40.822436, -73.857202 40.822155, -73.85826399999999 40.822013, -73.858445 40.822774, -73.855312 40.823192, -73.855136 40.822436))",29054
15,1500000US360050016004,360050016004,"Block Group 4, Census Tract 16, Bronx County, New York",1400,"POLYGON ((-73.85776799999999 40.819879, -73.85826399999999 40.822013, -73.857202 40.822155, -73.855136 40.822436, -73.854637 40.8203, -73.854142 40.818238, -73.85361999999999 40.816088, -73.85551699999999 40.815833, -73.85678299999999 40.815662, -73.85777999999999 40.81553, -73.858272 40.817629, -73.85919799999999 40.817511, -73.86012199999999 40.817389, -73.861982 40.817135, -73.862464 40.819247, -73.861531 40.819379, -73.860612 40.819497, -73.85776799999999 40.819879))",13832
16,1500000US360050019000,360050019000,"Block Group 0, Census Tract 19, Bronx County, New York",,"POLYGON ((-73.913624 40.796786, -73.91141 40.796686, -73.90780000000001 40.799263, -73.906305 40.801555, -73.901892 40.805007, -73.892504 40.801206, -73.897722 40.795138, -73.89980899999999 40.792524, -73.91250599999999 40.79618, -73.913624 40.796786), (-73.89864 40.799101, -73.896467 40.800791, -73.89833 40.802413, -73.899388 40.801935, -73.899787 40.79951, -73.90021 40.799264, -73.89864 40.799101))",
17,1500000US360050019001,360050019001,"Block Group 1, Census Tract 19, Bronx County, New York",1176,"POLYGON ((-73.91978 40.803592, -73.920283 40.802915, -73.922078 40.803678, -73.92570499999999 40.805198, -73.930031 40.807048, -73.930938 40.808253, -73.929219 40.809564, -73.928556 40.809046, -73.926524 40.808162, -73.92429799999999 40.807189, -73.921448 40.805989, -73.920615 40.805651, -73.918819 40.804905, -73.91978 40.803592))",19817
