GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median gross rent,Margin of Error; Median gross rent
1500000US360050001000,360050001000,"Block Group 0, Census Tract 1, Bronx County, New York",-,**
1500000US360050001001,360050001001,"Block Group 1, Census Tract 1, Bronx County, New York",-,**
1500000US360050002000,360050002000,"Block Group 0, Census Tract 2, Bronx County, New York",-,**
1500000US360050002001,360050002001,"Block Group 1, Census Tract 2, Bronx County, New York",1557,340
1500000US360050002002,360050002002,"Block Group 2, Census Tract 2, Bronx County, New York",1287,199
1500000US360050002003,360050002003,"Block Group 3, Census Tract 2, Bronx County, New York",1243,268
1500000US360050004000,360050004000,"Block Group 0, Census Tract 4, Bronx County, New York",-,**
1500000US360050004001,360050004001,"Block Group 1, Census Tract 4, Bronx County, New York",1543,573
1500000US360050004002,360050004002,"Block Group 2, Census Tract 4, Bronx County, New York",1411,444
1500000US360050004003,360050004003,"Block Group 3, Census Tract 4, Bronx County, New York",1395,211
1500000US360050004004,360050004004,"Block Group 4, Census Tract 4, Bronx County, New York",-,**
1500000US360050016001,360050016001,"Block Group 1, Census Tract 16, Bronx County, New York",952,61
1500000US360050016002,360050016002,"Block Group 2, Census Tract 16, Bronx County, New York",1620,239
1500000US360050016003,360050016003,"Block Group 3, Census Tract 16, Bronx County, New York",676,102
1500000US360050016004,360050016004,"Block Group 4, Census Tract 16, Bronx County, New York",1400,446
1500000US360050019000,360050019000,"Block Group 0, Census Tract 19, Bronx County, New York",-,**
1500000US360050019001,360050019001,"Block Group 1, Census Tract 19, Bronx County, New York",1176,51
1500000US360050019002,360050019002,"Block Group 2, Census Tract 19, Bronx County, New York",-,**
1500000US360050019003,360050019003,"Block Group 3, Census Tract 19, Bronx County, New York",765,321
1500000US360050019004,360050019004,"Block Group 4, Census Tract 19, Bronx County, New York",-,**
1500000US360050019005,360050019005,"Block Group 5, Census Tract 19, Bronx County, New York",-,**
1500000US360050020001,360050020001,"Block Group 1, Census Tract 20, Bronx County, New York",1393,124
1500000US360050020002,360050020002,"Block Group 2, Census Tract 20, Bronx County, New York",725,270
1500000US360050020003,360050020003,"Block Group 3, Census Tract 20, Bronx County, New York",433,36
